subject,predicate,object,source_chunk_id
Slavic languages,have grammatical genders,"masculine, feminine, neuter",doc_3260_chunk_0
Slavic languages,have grammatical numbers,"singular, plural",doc_3260_chunk_0
Slavic languages,have grammatical number considered by some,paucal or dual,doc_3260_chunk_0
Slavic languages,preserve gender distinction in plural unlike,Russian,doc_3260_chunk_0
Slavic languages,preserve gender distinction in plural unlike,Čakavian dialect,doc_3260_chunk_0
"numbers dva, dvije/dve, tri, četiri",require,genitive singular,doc_3260_chunk_0
numbers pet and above,require,genitive plural,doc_3260_chunk_0
adjectives,agree with nouns in,case and number,doc_3260_chunk_0
adjectives,placement relative to noun,preceding,doc_3260_chunk_0
Catalan personal pronouns,has morphology,complex,doc_3261_chunk_0
Catalan personal pronouns,has feature,gender-neutral ho,doc_3261_chunk_0
Catalan personal pronouns,has unstressed forms count,13,doc_3261_chunk_0
Spanish,has unstressed forms count,11,doc_3261_chunk_0
Italian,has unstressed forms count,9,doc_3261_chunk_0
Catalan personal pronouns,allows combinations,65 unstressed pronoun combinations,doc_3261_chunk_0
unstressed forms,belong to,Catalan personal pronouns,doc_3261_chunk_0
gender-neutral ho,is feature of,Catalan personal pronouns,doc_3261_chunk_0
"Bosnian, Serbian and Croatian standards of Serbo-Croatian",undergone,deliberate highlighting of minor linguistic differences in the name of nationalism,doc_3262_chunk_0
Most Slavic languages (including Czech),distanced from,Russian influences,doc_3262_chunk_0
Soviet Union,occupied,Czechoslovakia in 1968,doc_3262_chunk_0
Czech and Slovak,form,dialect continuum,doc_3262_chunk_0
Neighboring Czech and Slovak dialects,have,great similarity,doc_3262_chunk_0
Greece,has majority language,Greek,doc_3263_chunk_0
Pontic dialect,spoken by,speakers from Asia Minor,doc_3263_chunk_0
Speakers from Asia Minor,came to,Greece,doc_3263_chunk_0
Speakers from Asia Minor,came after,Greek genocide,doc_3263_chunk_0
Cappadocian dialect,came to,Greece,doc_3263_chunk_0
Cappadocian dialect,endangered,true,doc_3263_chunk_0
Sarakatsani,speak,archaic Greek,doc_3263_chunk_0
Sarakatsani,are,traditional transhumant shepherds,doc_3263_chunk_0
Sarakatsani,located in,Greek Macedonia,doc_3263_chunk_0
